RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Size Right X [px]	Pupil Size Right Y [px]	Pupil Diameter Right [mm]	Pupil Size Left X [px]	Pupil Size Left Y [px]	Pupil Diameter Left [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	AOI Name Binocular	AOI Group Binocular	AOI Scope Binocular	AOI Order Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Video Time [h:m:s:ms]	Eye Position Right X [mm]	Eye Position Right Y [mm]	Eye Position Right Z [mm]	Eye Position Left X [mm]	Eye Position Left Y [mm]	Eye Position Left Z [mm]	Pupil Position Right X [px]	Pupil Position Right Y [px]	Pupil Position Left X [px]	Pupil Position Left Y [px]
683457.8	20:54:56:107	Trial001	aby-3-recording.avi	0.0	91125.0	aby (2)	Lime	99.8	Eye	Blink	1	88.0	68.0	4.0	90.0	64.0	4.0	449.9	-62.8	449.2	134.5	265.0	-504.8	-	-	-	-	0.0	0.1	1.0	0.1	0.6	0.8	00:00:00:000	-30.9	4.3	-22.5	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
683473.9	20:54:56:123	Trial001	aby-3-recording.avi	0.0	91125.0	aby (2)	Lime	99.8	Eye	Blink	1	88.0	68.0	3.3	90.0	64.0	4.0	465.6	-23.4	483.2	241.0	265.0	-504.8	-	-	-	-	0.0	0.0	1.0	0.1	0.6	0.8	00:00:00:000	-30.7	4.7	-22.1	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
683491.1	20:54:56:140	Trial001	aby-3-recording.avi	0.0	91125.0	aby (2)	Lime	99.8	Eye	Blink	1	88.0	68.0	4.6	92.0	64.0	4.0	481.9	-10.7	527.0	221.6	258.5	-449.1	-	-	-	-	0.0	0.0	1.0	0.2	0.6	0.8	00:00:00:032	-30.6	5.0	-21.9	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
683507.1	20:54:56:156	Trial001	aby-3-recording.avi	0.0	91125.0	aby (2)	Lime	99.8	Eye	Blink	1	88.0	68.0	4.3	90.0	66.0	4.0	479.8	-52.0	527.2	284.1	247.0	-611.6	-	-	-	-	0.0	-0.1	1.0	0.2	0.6	0.8	00:00:00:032	-30.5	5.2	-21.9	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
683523.8	20:54:56:173	Trial001	aby-3-recording.avi	0.0	91125.0	aby (2)	Lime	99.8	Eye	Blink	1	88.0	72.0	4.3	0.0	0.0	0.0	543.4	403.8	533.3	317.0	0.0	0.0	-	-	-	-	-0.1	-0.1	1.0	0.0	0.0	0.0	00:00:00:066	-30.5	5.4	-21.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
683540.5	20:54:56:190	Trial001	aby-3-recording.avi	0.0	91125.0	aby (2)	Lime	99.8	Eye	Blink	1	90.0	72.0	4.3	0.0	0.0	0.0	545.9	400.6	536.0	313.6	0.0	0.0	-	-	-	-	-0.1	-0.1	1.0	0.0	0.0	0.0	00:00:00:066	-30.5	5.4	-21.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
683557.1	20:54:56:206	Trial001	aby-3-recording.avi	0.0	91125.0	aby (2)	Lime	99.8	Eye	Blink	1	90.0	58.0	3.9	0.0	0.0	0.0	550.6	402.9	540.8	317.2	0.0	0.0	-	-	-	-	-0.1	-0.1	1.0	0.0	0.0	0.0	00:00:00:066	-30.5	5.4	-21.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
683573.7	20:54:56:223	Trial001	aby-3-recording.avi	0.0	91125.0	aby (2)	Lime	99.8	Eye	Blink	1	90.0	54.0	3.8	0.0	0.0	0.0	552.4	392.1	542.7	304.6	0.0	0.0	-	-	-	-	-0.1	-0.1	1.0	0.0	0.0	0.0	00:00:00:099	-30.5	5.4	-21.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
683590.1	20:54:56:239	Trial001	aby-3-recording.avi	0.0	91125.0	aby (2)	Lime	99.8	Eye	Blink	1	90.0	64.0	4.1	0.0	0.0	0.0	548.2	370.6	538.4	277.8	0.0	0.0	-	-	-	-	-0.1	0.0	1.0	0.0	0.0	0.0	00:00:00:132	-30.5	5.4	-21.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
683607.0	20:54:56:256	Trial001	aby-3-recording.avi	0.0	91125.0	aby (2)	Lime	99.8	Eye	Blink	1	90.0	68.0	4.2	0.0	0.0	0.0	546.2	360.6	536.2	265.2	0.0	0.0	-	-	-	-	-0.1	0.0	1.0	0.0	0.0	0.0	00:00:00:132	-30.5	5.4	-21.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
