RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Size Right X [px]	Pupil Size Right Y [px]	Pupil Diameter Right [mm]	Pupil Size Left X [px]	Pupil Size Left Y [px]	Pupil Diameter Left [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	AOI Name Binocular	AOI Group Binocular	AOI Scope Binocular	AOI Order Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Video Time [h:m:s:ms]	Eye Position Right X [mm]	Eye Position Right Y [mm]	Eye Position Right Z [mm]	Eye Position Left X [mm]	Eye Position Left Y [mm]	Eye Position Left Z [mm]	Pupil Position Right X [px]	Pupil Position Right Y [px]	Pupil Position Left X [px]	Pupil Position Left Y [px]
379820.8	17:56:55:111	Trial001	brian-3-recording.avi	0.0	67443.3	brian (2)	DimGray	100.0	Eye	Blink	1	76.0	72.0	4.0	80.0	66.0	4.0	680.2	330.7	833.5	236.3	454.5	373.5	-	-	-	-	-0.4	0.0	0.9	0.0	-0.2	1.0	00:00:00:000	-31.6	2.7	-24.3	32.5	3.9	-23.9	0.0	0.0	0.0	0.0
379836.9	17:56:55:127	Trial001	brian-3-recording.avi	0.0	67443.3	brian (2)	DimGray	100.0	Eye	Blink	1	76.0	72.0	3.4	80.0	66.0	3.5	603.6	528.8	629.6	512.0	513.4	455.0	-	-	-	-	-0.2	-0.3	0.9	-0.1	-0.2	1.0	00:00:00:032	-31.6	2.7	-24.3	32.7	4.2	-23.9	0.0	0.0	0.0	0.0
379853.7	17:56:55:144	Trial001	brian-3-recording.avi	0.0	67443.3	brian (2)	DimGray	100.0	Eye	Blink	1	76.0	72.0	3.3	80.0	66.0	3.4	604.4	537.3	630.2	512.1	515.0	469.7	-	-	-	-	-0.2	-0.3	0.9	-0.1	-0.3	1.0	00:00:00:032	-31.6	2.7	-24.3	32.8	4.4	-23.9	0.0	0.0	0.0	0.0
379870.8	17:56:55:161	Trial001	brian-3-recording.avi	0.0	67443.3	brian (2)	DimGray	100.0	Eye	Blink	1	76.0	72.0	3.3	78.0	66.0	3.4	606.2	537.5	629.8	512.3	518.8	469.9	-	-	-	-	-0.2	-0.3	0.9	-0.1	-0.3	1.0	00:00:00:032	-31.6	2.7	-24.3	32.8	4.5	-23.9	0.0	0.0	0.0	0.0
379886.7	17:56:55:177	Trial001	brian-3-recording.avi	0.0	67443.3	brian (2)	DimGray	100.0	Eye	Blink	1	76.0	72.0	3.4	78.0	66.0	3.4	607.1	539.7	630.0	512.9	520.3	472.9	-	-	-	-	-0.2	-0.3	0.9	-0.1	-0.3	1.0	00:00:00:066	-31.6	2.7	-24.3	32.9	4.6	-23.9	0.0	0.0	0.0	0.0
379903.4	17:56:55:194	Trial001	brian-3-recording.avi	0.0	67443.3	brian (2)	DimGray	100.0	Eye	Blink	1	76.0	70.0	3.3	78.0	66.0	3.4	607.8	540.9	630.7	514.3	521.2	473.6	-	-	-	-	-0.2	-0.3	0.9	-0.1	-0.3	1.0	00:00:00:099	-31.6	2.7	-24.3	32.9	4.6	-23.9	0.0	0.0	0.0	0.0
379920.0	17:56:55:210	Trial001	brian-3-recording.avi	0.0	67443.3	brian (2)	DimGray	100.0	Eye	Blink	1	76.0	72.0	3.4	78.0	66.0	3.4	608.0	540.7	630.0	511.0	522.3	476.5	-	-	-	-	-0.2	-0.3	0.9	-0.1	-0.3	1.0	00:00:00:099	-31.6	2.7	-24.3	32.9	4.7	-23.9	0.0	0.0	0.0	0.0
379936.8	17:56:55:227	Trial001	brian-3-recording.avi	0.0	67443.3	brian (2)	DimGray	100.0	Eye	Blink	1	74.0	68.0	3.3	78.0	64.0	3.3	620.8	502.8	636.2	477.1	539.8	442.1	-	-	-	-	-0.2	-0.3	0.9	-0.1	-0.2	1.0	00:00:00:099	-31.6	2.7	-24.3	32.9	4.7	-23.9	0.0	0.0	0.0	0.0
379953.2	17:56:55:243	Trial001	brian-3-recording.avi	0.0	67443.3	brian (2)	DimGray	100.0	Eye	Blink	1	76.0	64.0	3.3	76.0	62.0	3.3	612.2	463.1	622.5	440.6	534.9	407.2	-	-	-	-	-0.2	-0.2	1.0	-0.1	-0.2	1.0	00:00:00:132	-31.6	2.7	-24.3	32.9	4.8	-24.0	0.0	0.0	0.0	0.0
379969.8	17:56:55:260	Trial001	brian-3-recording.avi	0.0	67443.3	brian (2)	DimGray	100.0	Eye	Blink	1	76.0	64.0	3.4	76.0	60.0	3.3	597.1	437.5	605.6	418.5	521.1	383.3	-	-	-	-	-0.1	-0.2	1.0	-0.1	-0.2	1.0	00:00:00:132	-31.6	2.7	-24.3	32.9	4.7	-24.0	0.0	0.0	0.0	0.0
379986.6	17:56:55:277	Trial001	brian-3-recording.avi	0.0	67443.3	brian (2)	DimGray	100.0	Eye	Blink	1	76.0	64.0	3.3	76.0	62.0	3.4	598.1	433.6	608.6	418.5	519.8	376.4	-	-	-	-	-0.1	-0.2	1.0	-0.1	-0.2	1.0	00:00:00:166	-31.6	2.7	-24.3	32.9	4.7	-24.0	0.0	0.0	0.0	0.0
