RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Size Right X [px]	Pupil Size Right Y [px]	Pupil Diameter Right [mm]	Pupil Size Left X [px]	Pupil Size Left Y [px]	Pupil Diameter Left [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	AOI Name Binocular	AOI Group Binocular	AOI Scope Binocular	AOI Order Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Video Time [h:m:s:ms]	Eye Position Right X [mm]	Eye Position Right Y [mm]	Eye Position Right Z [mm]	Eye Position Left X [mm]	Eye Position Left Y [mm]	Eye Position Left Z [mm]	Pupil Position Right X [px]	Pupil Position Right Y [px]	Pupil Position Left X [px]	Pupil Position Left Y [px]
1208866.9	21:03:41:510	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Blink	1	124.0	94.0	4.0	112.0	92.0	4.0	457.0	382.0	518.4	446.4	348.8	274.9	-	-	-	-	0.0	-0.2	1.0	0.1	0.0	1.0	00:00:00:000	-32.0	2.4	-22.7	31.8	3.1	-22.9	0.0	0.0	0.0	0.0
1208883.3	21:03:41:526	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Blink	1	124.0	94.0	5.7	108.0	92.0	6.7	444.4	319.1	498.7	263.3	352.7	313.5	-	-	-	-	0.0	0.0	1.0	0.1	-0.1	1.0	00:00:00:000	-32.1	2.5	-22.4	31.9	3.3	-22.5	0.0	0.0	0.0	0.0
1208899.9	21:03:41:543	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Blink	1	124.0	90.0	5.1	108.0	92.0	5.3	436.0	359.1	485.8	410.3	335.2	259.6	-	-	-	-	0.0	-0.2	1.0	0.1	0.0	1.0	00:00:00:000	-32.2	2.5	-22.3	31.9	3.5	-22.2	0.0	0.0	0.0	0.0
1208916.6	21:03:41:560	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Blink	1	124.0	90.0	5.1	108.0	92.0	4.9	436.6	394.8	485.1	434.5	340.5	312.0	-	-	-	-	0.0	-0.2	1.0	0.1	-0.1	1.0	00:00:00:032	-32.2	2.6	-22.3	31.9	3.6	-22.1	0.0	0.0	0.0	0.0
1208933.1	21:03:41:576	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Blink	1	124.0	90.0	5.0	110.0	92.0	4.8	438.6	412.3	482.8	442.4	349.2	340.6	-	-	-	-	0.0	-0.2	1.0	0.1	-0.1	1.0	00:00:00:066	-32.2	2.6	-22.3	31.9	3.7	-22.0	0.0	0.0	0.0	0.0
1208949.8	21:03:41:593	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Blink	1	124.0	92.0	5.1	112.0	92.0	4.7	439.4	425.6	481.6	449.2	353.6	361.6	-	-	-	-	0.0	-0.2	1.0	0.1	-0.1	1.0	00:00:00:066	-32.2	2.6	-22.2	32.0	3.7	-21.9	0.0	0.0	0.0	0.0
1208966.2	21:03:41:609	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Visual Intake	1	124.0	92.0	5.1	112.0	92.0	4.8	440.2	433.4	480.9	450.8	357.1	376.1	-	-	-	-	0.0	-0.2	1.0	0.1	-0.2	1.0	00:00:00:099	-32.2	2.6	-22.2	32.0	3.8	-21.9	0.0	0.0	0.0	0.0
1208982.8	21:03:41:626	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Visual Intake	1	124.0	92.0	5.0	110.0	92.0	4.8	440.2	436.9	481.4	452.2	357.1	382.2	-	-	-	-	0.0	-0.2	1.0	0.1	-0.2	1.0	00:00:00:099	-32.2	2.6	-22.2	32.0	3.8	-21.8	0.0	0.0	0.0	0.0
1208999.4	21:03:41:643	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Visual Intake	1	124.0	92.0	5.1	112.0	92.0	4.7	441.1	442.2	480.9	456.7	359.9	388.7	-	-	-	-	0.0	-0.2	1.0	0.1	-0.2	1.0	00:00:00:132	-32.3	2.6	-22.2	32.0	3.8	-21.8	0.0	0.0	0.0	0.0
1209016.3	21:03:41:659	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Visual Intake	1	124.0	94.0	5.1	112.0	92.0	4.7	440.5	445.3	479.6	458.1	360.3	393.8	-	-	-	-	0.0	-0.3	1.0	0.1	-0.2	1.0	00:00:00:132	-32.3	2.7	-22.2	32.0	3.8	-21.8	0.0	0.0	0.0	0.0
1209032.8	21:03:41:676	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Visual Intake	1	124.0	94.0	5.0	112.0	94.0	4.7	438.8	444.7	478.9	458.2	357.2	392.7	-	-	-	-	0.0	-0.3	1.0	0.1	-0.2	1.0	00:00:00:166	-32.3	2.7	-22.2	32.0	3.9	-21.7	0.0	0.0	0.0	0.0
1209049.4	21:03:41:692	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Visual Intake	1	124.0	94.0	5.0	112.0	94.0	4.8	441.4	449.9	478.8	458.0	363.8	402.9	-	-	-	-	0.0	-0.3	1.0	0.1	-0.2	1.0	00:00:00:166	-32.3	2.7	-22.2	32.0	3.9	-21.7	0.0	0.0	0.0	0.0
1209065.8	21:03:41:709	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Visual Intake	1	126.0	96.0	5.1	112.0	94.0	4.8	441.9	452.1	479.7	460.2	364.2	405.5	-	-	-	-	0.0	-0.3	1.0	0.1	-0.2	1.0	00:00:00:199	-32.3	2.7	-22.2	32.0	3.9	-21.7	0.0	0.0	0.0	0.0
1209082.5	21:03:41:726	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Visual Intake	1	126.0	98.0	5.1	112.0	94.0	4.8	441.0	452.5	479.7	460.4	362.3	406.4	-	-	-	-	0.0	-0.3	1.0	0.1	-0.2	1.0	00:00:00:199	-32.3	2.7	-22.2	32.0	3.9	-21.7	0.0	0.0	0.0	0.0
1209099.0	21:03:41:742	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Visual Intake	1	126.0	98.0	5.1	112.0	94.0	4.7	441.2	453.8	479.7	461.9	362.6	407.7	-	-	-	-	0.0	-0.3	1.0	0.1	-0.2	1.0	00:00:00:199	-32.3	2.7	-22.2	32.0	3.9	-21.7	0.0	0.0	0.0	0.0
1209115.6	21:03:41:759	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Saccade	1	126.0	98.0	5.1	112.0	94.0	4.7	441.2	454.8	478.7	461.3	363.9	410.1	-	-	-	-	0.0	-0.3	1.0	0.1	-0.2	1.0	00:00:00:232	-32.3	2.7	-22.2	32.0	3.9	-21.7	0.0	0.0	0.0	0.0
1209132.2	21:03:41:775	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Saccade	1	122.0	96.0	5.0	112.0	94.0	4.7	441.5	454.1	479.1	457.5	364.5	412.3	-	-	-	-	0.0	-0.2	1.0	0.1	-0.2	1.0	00:00:00:232	-32.3	2.7	-22.2	32.0	3.9	-21.6	0.0	0.0	0.0	0.0
1209148.9	21:03:41:792	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Saccade	1	122.0	92.0	5.0	110.0	90.0	4.6	432.9	416.8	468.5	420.5	354.3	369.2	-	-	-	-	0.0	-0.2	1.0	0.1	-0.2	1.0	00:00:00:266	-32.3	2.7	-22.1	32.0	3.9	-21.6	0.0	0.0	0.0	0.0
1209165.5	21:03:41:809	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Saccade	1	122.0	90.0	5.0	108.0	84.0	4.6	435.3	381.5	463.7	378.1	363.4	333.7	-	-	-	-	0.0	-0.2	1.0	0.1	-0.1	1.0	00:00:00:299	-32.3	2.6	-22.1	32.0	3.9	-21.6	0.0	0.0	0.0	0.0
1209182.0	21:03:41:825	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Saccade	1	122.0	90.0	5.1	108.0	86.0	4.6	434.3	377.2	462.0	369.7	363.3	332.5	-	-	-	-	0.0	-0.2	1.0	0.1	-0.1	1.0	00:00:00:299	-32.3	2.6	-22.1	32.0	3.9	-21.6	0.0	0.0	0.0	0.0
1209198.6	21:03:41:842	Trial001	kyle-6-recording.avi	0.0	117096.8	kyle (2)	Maroon	99.2	Eye	Visual Intake	2	122.0	92.0	5.1	110.0	86.0	4.7	435.1	375.9	462.5	368.7	364.4	330.5	-	-	-	-	0.0	-0.2	1.0	0.1	-0.1	1.0	00:00:00:332	-32.4	2.6	-22.1	32.0	3.9	-21.6	0.0	0.0	0.0	0.0
