RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Size Right X [px]	Pupil Size Right Y [px]	Pupil Diameter Right [mm]	Pupil Size Left X [px]	Pupil Size Left Y [px]	Pupil Diameter Left [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	AOI Name Binocular	AOI Group Binocular	AOI Scope Binocular	AOI Order Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Video Time [h:m:s:ms]	Eye Position Right X [mm]	Eye Position Right Y [mm]	Eye Position Right Z [mm]	Eye Position Left X [mm]	Eye Position Left Y [mm]	Eye Position Left Z [mm]	Pupil Position Right X [px]	Pupil Position Right Y [px]	Pupil Position Left X [px]	Pupil Position Left Y [px]
1417342.2	18:38:07:079	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Blink	1	106.0	84.0	4.0	112.0	96.0	4.0	589.4	526.4	731.6	801.2	455.0	419.0	-	-	-	-	-0.2	-0.6	0.8	0.0	-0.2	1.0	00:00:00:000	-32.0	2.2	-25.3	31.9	3.1	-23.8	0.0	0.0	0.0	0.0
1417358.5	18:38:07:095	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Blink	1	106.0	84.0	4.3	112.0	90.0	4.7	567.0	552.0	607.2	641.6	479.0	437.6	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.2	1.0	00:00:00:032	-32.2	2.0	-25.7	32.0	3.3	-23.7	0.0	0.0	0.0	0.0
1417375.1	18:38:07:112	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Blink	1	106.0	84.0	4.4	112.0	96.0	4.7	556.2	498.3	605.2	611.0	480.2	457.9	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:032	-32.3	1.8	-25.9	32.1	3.4	-23.7	0.0	0.0	0.0	0.0
1417391.8	18:38:07:129	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Blink	1	106.0	84.0	4.4	112.0	96.0	4.7	553.4	490.6	595.8	591.2	481.8	460.2	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:066	-32.4	1.7	-26.0	32.1	3.4	-23.7	0.0	0.0	0.0	0.0
1417408.4	18:38:07:145	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Blink	1	106.0	84.0	4.5	110.0	96.0	4.7	551.3	490.6	589.8	580.7	481.6	463.7	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:066	-32.5	1.6	-26.1	32.1	3.5	-23.7	0.0	0.0	0.0	0.0
1417425.0	18:38:07:162	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	1	104.0	84.0	4.4	110.0	96.0	4.6	550.9	490.1	587.0	575.2	482.3	464.0	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:099	-32.5	1.6	-26.1	32.2	3.5	-23.7	0.0	0.0	0.0	0.0
1417441.6	18:38:07:178	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	1	104.0	82.0	4.5	108.0	90.0	4.6	549.5	487.0	583.3	566.0	481.8	462.9	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:099	-32.6	1.5	-26.1	32.2	3.5	-23.7	0.0	0.0	0.0	0.0
1417458.2	18:38:07:195	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	1	104.0	82.0	4.4	108.0	90.0	4.6	548.8	489.6	581.7	564.7	481.5	465.5	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:132	-32.6	1.5	-26.2	32.2	3.5	-23.7	0.0	0.0	0.0	0.0
1417474.7	18:38:07:211	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	1	104.0	80.0	4.4	110.0	90.0	4.6	552.5	498.0	594.0	596.7	481.8	465.6	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:132	-32.6	1.5	-26.2	32.2	3.6	-23.7	0.0	0.0	0.0	0.0
1417491.3	18:38:07:228	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	1	90.0	80.0	3.1	110.0	88.0	4.6	552.7	493.6	596.6	593.9	480.5	463.7	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:166	-32.6	1.4	-26.2	32.2	3.6	-23.7	0.0	0.0	0.0	0.0
1417507.8	18:38:07:245	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	1	90.0	78.0	3.0	110.0	88.0	4.6	552.4	487.7	597.3	589.7	479.4	459.5	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:166	-32.6	1.4	-26.2	32.2	3.6	-23.7	0.0	0.0	0.0	0.0
1417524.4	18:38:07:261	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	1	106.0	82.0	3.7	110.0	96.0	4.6	553.9	487.9	594.9	578.2	482.0	463.6	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:166	-32.7	1.4	-26.2	32.3	3.6	-23.8	0.0	0.0	0.0	0.0
1417541.0	18:38:07:278	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	1	106.0	80.0	4.4	110.0	96.0	4.7	544.3	484.6	569.5	545.9	480.8	462.3	-	-	-	-	-0.1	-0.3	0.9	0.0	-0.3	1.0	00:00:00:199	-32.7	1.3	-26.3	32.3	3.7	-23.8	0.0	0.0	0.0	0.0
1417557.8	18:38:07:295	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	1	104.0	80.0	4.4	110.0	96.0	4.7	543.6	481.2	566.1	537.9	481.3	459.9	-	-	-	-	-0.1	-0.3	0.9	0.0	-0.3	1.0	00:00:00:232	-32.7	1.3	-26.3	32.3	3.7	-23.8	0.0	0.0	0.0	0.0
1417574.4	18:38:07:311	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	1	88.0	80.0	3.0	112.0	98.0	4.7	550.9	478.4	587.1	557.8	480.8	458.1	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:232	-32.7	1.3	-26.3	32.3	3.7	-23.8	0.0	0.0	0.0	0.0
1417591.1	18:38:07:328	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	1	106.0	80.0	3.2	110.0	96.0	4.7	535.2	510.8	554.3	594.5	480.3	457.8	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:266	-32.7	1.3	-26.3	32.3	3.7	-23.8	0.0	0.0	0.0	0.0
1417607.5	18:38:07:344	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Saccade	1	88.0	78.0	3.0	112.0	96.0	4.7	545.0	479.9	574.2	551.1	479.8	458.1	-	-	-	-	-0.1	-0.3	0.9	0.0	-0.3	1.0	00:00:00:266	-32.7	1.3	-26.3	32.3	3.7	-23.8	0.0	0.0	0.0	0.0
1417624.0	18:38:07:361	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Saccade	1	106.0	80.0	4.1	110.0	90.0	4.7	547.3	515.0	564.5	573.5	490.2	479.5	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:299	-32.7	1.3	-26.3	32.3	3.7	-23.8	0.0	0.0	0.0	0.0
1417640.8	18:38:07:378	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Saccade	1	106.0	82.0	4.5	112.0	100.0	4.7	552.4	546.7	566.4	579.5	494.4	505.3	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:299	-32.7	1.3	-26.3	32.3	3.7	-23.8	0.0	0.0	0.0	0.0
1417657.3	18:38:07:394	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	2	92.0	82.0	4.5	112.0	100.0	4.7	559.0	545.1	585.4	588.2	491.9	506.4	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:299	-32.7	1.3	-26.4	32.3	3.7	-23.8	0.0	0.0	0.0	0.0
1417674.4	18:38:07:411	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	2	108.0	82.0	4.6	112.0	100.0	4.7	550.5	548.1	567.4	574.5	489.8	507.6	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:332	-32.7	1.3	-26.4	32.3	3.7	-23.8	0.0	0.0	0.0	0.0
1417690.4	18:38:07:427	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	2	108.0	84.0	4.6	112.0	100.0	4.7	548.9	547.4	566.6	574.1	488.1	507.3	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:366	-32.7	1.3	-26.4	32.3	3.8	-23.8	0.0	0.0	0.0	0.0
1417707.0	18:38:07:444	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	2	106.0	84.0	4.5	112.0	102.0	4.7	549.6	543.7	569.8	581.2	488.4	504.8	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:366	-32.7	1.3	-26.4	32.3	3.8	-23.8	0.0	0.0	0.0	0.0
1417723.7	18:38:07:460	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	2	102.0	82.0	4.5	112.0	102.0	4.7	548.3	541.6	570.6	580.8	486.0	503.7	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:366	-32.7	1.3	-26.4	32.3	3.8	-23.8	0.0	0.0	0.0	0.0
1417740.2	18:38:07:477	Trial001	nathan-6-recording.avi	0.0	75259.9	nathan (2)	Goldenrod	100.0	Eye	Visual Intake	2	108.0	86.0	4.5	112.0	100.0	4.8	547.3	540.5	569.8	578.3	484.8	503.2	-	-	-	-	-0.1	-0.4	0.9	0.0	-0.3	1.0	00:00:00:399	-32.7	1.3	-26.4	32.3	3.8	-23.8	0.0	0.0	0.0	0.0
