RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Size Right X [px]	Pupil Size Right Y [px]	Pupil Diameter Right [mm]	Pupil Size Left X [px]	Pupil Size Left Y [px]	Pupil Diameter Left [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	AOI Name Binocular	AOI Group Binocular	AOI Scope Binocular	AOI Order Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Video Time [h:m:s:ms]	Eye Position Right X [mm]	Eye Position Right Y [mm]	Eye Position Right Z [mm]	Eye Position Left X [mm]	Eye Position Left Y [mm]	Eye Position Left Z [mm]	Pupil Position Right X [px]	Pupil Position Right Y [px]	Pupil Position Left X [px]	Pupil Position Left Y [px]
435580.1	18:52:54:512	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	130.0	96.0	4.0	134.0	84.0	4.0	612.8	674.1	422.3	527.8	622.2	498.9	-	-	-	-	0.1	-0.3	0.9	-0.2	-0.3	0.9	00:00:00:000	-30.6	0.4	-21.3	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
435596.5	18:52:54:528	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	130.0	92.0	5.7	132.0	84.0	6.1	601.0	198.1	528.6	-194.7	617.3	505.3	-	-	-	-	0.0	0.4	0.9	-0.2	-0.3	0.9	00:00:00:000	-30.0	0.0	-20.9	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
435613.1	18:52:54:545	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	130.0	90.0	5.0	134.0	90.0	6.0	646.2	598.9	526.9	312.8	595.3	549.8	-	-	-	-	0.0	-0.1	1.0	-0.2	-0.3	0.9	00:00:00:000	-30.0	0.0	-20.9	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
435629.5	18:52:54:561	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	130.0	96.0	5.0	132.0	100.0	5.8	645.1	708.9	528.5	348.2	569.1	585.6	-	-	-	-	0.0	-0.1	1.0	-0.1	-0.4	0.9	00:00:00:032	-30.0	0.0	-20.9	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
435646.1	18:52:54:578	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	128.0	102.0	5.0	0.0	0.0	0.0	564.4	424.0	524.1	348.0	0.0	0.0	-	-	-	-	0.0	-0.1	1.0	0.0	0.0	0.0	00:00:00:066	-30.0	0.0	-20.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
435662.8	18:52:54:595	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	130.0	86.0	4.8	0.0	0.0	0.0	545.9	410.4	507.2	333.2	0.0	0.0	-	-	-	-	0.0	-0.1	1.0	0.0	0.0	0.0	00:00:00:066	-30.0	0.0	-20.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
435679.3	18:52:54:611	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	124.0	62.0	4.9	0.0	0.0	0.0	541.7	375.7	506.2	298.5	0.0	0.0	-	-	-	-	0.0	-0.1	1.0	0.0	0.0	0.0	00:00:00:099	-30.0	0.0	-20.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
435696.2	18:52:54:628	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	0.0	0.0	0.0	0.0	0.0	0.0	-	-	0.0	0.0	0.0	0.0	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	00:00:00:099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
435712.5	18:52:54:644	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	0.0	0.0	0.0	0.0	0.0	0.0	-	-	0.0	0.0	0.0	0.0	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	00:00:00:132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
435729.4	18:52:54:661	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	0.0	0.0	0.0	0.0	0.0	0.0	-	-	0.0	0.0	0.0	0.0	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	00:00:00:132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
435745.7	18:52:54:678	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	0.0	0.0	0.0	0.0	0.0	0.0	-	-	0.0	0.0	0.0	0.0	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	00:00:00:166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
435762.2	18:52:54:694	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	126.0	62.0	4.5	0.0	0.0	0.0	534.6	318.6	504.6	240.7	0.0	0.0	-	-	-	-	0.0	0.0	1.0	0.0	0.0	0.0	00:00:00:166	-30.0	0.0	-20.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
435779.0	18:52:54:711	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	124.0	74.0	4.6	0.0	0.0	0.0	533.2	340.0	501.2	262.2	0.0	0.0	-	-	-	-	0.0	0.0	1.0	0.0	0.0	0.0	00:00:00:199	-30.0	0.0	-20.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
435796.0	18:52:54:728	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	124.0	80.0	4.8	0.0	0.0	0.0	524.6	319.6	494.6	240.9	0.0	0.0	-	-	-	-	0.0	0.0	1.0	0.0	0.0	0.0	00:00:00:199	-30.0	0.0	-20.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
435812.7	18:52:54:745	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	124.0	80.0	4.8	0.0	0.0	0.0	525.6	325.0	495.1	246.4	0.0	0.0	-	-	-	-	0.0	0.0	1.0	0.0	0.0	0.0	00:00:00:232	-30.0	0.0	-20.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
435828.7	18:52:54:761	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	126.0	76.0	4.8	0.0	0.0	0.0	534.8	326.9	504.0	249.2	0.0	0.0	-	-	-	-	0.0	0.0	1.0	0.0	0.0	0.0	00:00:00:232	-30.0	0.0	-20.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
435845.2	18:52:54:777	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	126.0	80.0	4.8	0.0	0.0	0.0	576.6	440.9	502.1	242.8	562.4	563.1	-	-	-	-	0.0	0.0	1.0	-0.1	-0.4	0.9	00:00:00:266	-30.0	0.0	-20.9	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
435862.0	18:52:54:794	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	128.0	84.0	4.8	0.0	0.0	0.0	569.1	440.2	490.8	233.0	559.8	568.2	-	-	-	-	0.0	0.0	1.0	-0.1	-0.4	0.9	00:00:00:266	-30.0	0.0	-20.9	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
435878.4	18:52:54:810	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	126.0	78.0	4.8	0.0	0.0	0.0	532.3	299.5	504.2	221.3	0.0	0.0	-	-	-	-	0.0	0.0	1.0	0.0	0.0	0.0	00:00:00:266	-29.9	-0.2	-20.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
435894.9	18:52:54:827	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	126.0	80.0	4.8	132.0	72.0	7.4	622.3	491.6	502.2	206.5	581.8	492.4	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:299	-29.9	-0.3	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
435911.8	18:52:54:844	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	128.0	84.0	4.8	134.0	72.0	7.4	625.0	506.5	505.8	209.8	579.0	498.4	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:332	-29.8	-0.4	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
435928.0	18:52:54:860	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	128.0	84.0	4.8	134.0	78.0	7.4	623.3	514.1	506.9	221.4	577.0	502.9	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:332	-29.8	-0.4	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
435945.0	18:52:54:877	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	126.0	84.0	4.8	134.0	76.0	7.5	619.1	487.7	506.0	228.6	581.1	492.6	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:366	-29.8	-0.4	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
435961.7	18:52:54:894	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	126.0	84.0	4.8	136.0	76.0	7.5	619.0	498.7	503.6	222.9	578.9	497.1	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:366	-29.8	-0.4	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
435977.9	18:52:54:910	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	128.0	84.0	4.8	136.0	82.0	7.4	617.5	495.6	503.0	226.4	579.2	496.2	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:399	-29.8	-0.4	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
435995.0	18:52:54:927	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	128.0	84.0	4.8	134.0	72.0	7.6	619.4	488.5	506.0	227.8	581.1	492.9	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:399	-29.8	-0.4	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
436011.1	18:52:54:943	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	128.0	84.0	4.8	136.0	80.0	7.5	616.3	483.4	501.2	224.1	581.7	490.4	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:432	-29.8	-0.4	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
436028.0	18:52:54:960	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	128.0	84.0	4.8	136.0	80.0	7.4	615.5	491.7	500.7	225.7	579.4	494.5	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:432	-29.8	-0.4	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
436044.5	18:52:54:976	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	126.0	82.0	4.8	136.0	80.0	7.4	614.4	491.9	498.4	223.5	579.4	494.5	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:466	-29.8	-0.4	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
436060.9	18:52:54:993	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	126.0	82.0	4.8	136.0	80.0	7.6	613.4	491.0	498.2	227.5	579.4	494.5	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:466	-29.8	-0.4	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
436077.8	18:52:55:010	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	126.0	82.0	4.8	136.0	70.0	7.5	613.6	491.5	497.7	224.9	579.4	494.5	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:466	-29.8	-0.4	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
436094.2	18:52:55:026	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	126.0	82.0	4.8	134.0	68.0	7.5	613.4	485.1	496.6	222.8	581.2	491.3	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:499	-29.8	-0.4	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
436111.1	18:52:55:043	Trial001	sara-3-recording.avi	0.0	116615.7	sara (2)	LightPink	97.2	Eye	Blink	1	126.0	82.0	4.8	136.0	84.0	7.4	612.7	498.4	494.1	220.1	578.8	497.4	-	-	-	-	0.0	0.0	1.0	-0.1	-0.3	0.9	00:00:00:499	-29.8	-0.4	-20.7	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
