RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Size Right X [px]	Pupil Size Right Y [px]	Pupil Diameter Right [mm]	Pupil Size Left X [px]	Pupil Size Left Y [px]	Pupil Diameter Left [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	AOI Name Binocular	AOI Group Binocular	AOI Scope Binocular	AOI Order Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Video Time [h:m:s:ms]	Eye Position Right X [mm]	Eye Position Right Y [mm]	Eye Position Right Z [mm]	Eye Position Left X [mm]	Eye Position Left Y [mm]	Eye Position Left Z [mm]	Pupil Position Right X [px]	Pupil Position Right Y [px]	Pupil Position Left X [px]	Pupil Position Left Y [px]
1607984.0	21:40:01:049	Trial001	sid-5-recording.avi	0.0	93896.6	sid (1)	DarkMagenta	99.8	Eye	Blink	1	86.0	62.0	4.0	82.0	62.0	4.0	547.1	519.1	567.3	759.5	478.9	366.6	-	-	-	-	-0.1	-0.5	0.8	0.0	-0.1	1.0	00:00:00:000	-31.6	2.7	-24.3	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
1608000.6	21:40:01:066	Trial001	sid-5-recording.avi	0.0	93896.6	sid (1)	DarkMagenta	99.8	Eye	Blink	1	86.0	74.0	3.8	84.0	64.0	4.8	544.4	378.7	569.8	466.9	471.7	381.0	-	-	-	-	-0.1	-0.3	1.0	0.0	-0.2	1.0	00:00:00:032	-31.6	2.7	-24.3	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
1608017.1	21:40:01:082	Trial001	sid-5-recording.avi	0.0	93896.6	sid (1)	DarkMagenta	99.8	Eye	Blink	1	88.0	72.0	3.7	84.0	64.0	5.1	553.4	170.6	566.2	470.8	484.7	20.2	-	-	-	-	-0.1	-0.3	1.0	0.0	0.2	1.0	00:00:00:032	-31.6	2.7	-24.3	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
1608033.7	21:40:01:099	Trial001	sid-5-recording.avi	0.0	93896.6	sid (1)	DarkMagenta	99.8	Eye	Blink	1	88.0	74.0	3.7	82.0	64.0	5.4	526.1	68.3	557.1	417.3	440.0	-96.8	-	-	-	-	-0.1	-0.2	1.0	0.0	0.3	0.9	00:00:00:032	-31.7	1.9	-23.7	31.5	2.2	-22.3	0.0	0.0	0.0	0.0
1608050.3	21:40:01:115	Trial001	sid-5-recording.avi	0.0	93896.6	sid (1)	DarkMagenta	99.8	Eye	Blink	1	88.0	74.0	3.8	82.0	64.0	5.4	521.5	-9.2	553.6	337.1	433.5	-151.4	-	-	-	-	-0.1	-0.1	1.0	0.0	0.4	0.9	00:00:00:066	-31.8	1.0	-23.1	31.4	2.0	-21.8	0.0	0.0	0.0	0.0
1608067.0	21:40:01:132	Trial001	sid-5-recording.avi	0.0	93896.6	sid (1)	DarkMagenta	99.8	Eye	Blink	1	88.0	74.0	3.6	84.0	64.0	3.8	552.6	219.7	543.1	351.3	508.4	204.4	-	-	-	-	-0.1	-0.1	1.0	-0.1	0.0	1.0	00:00:00:066	-31.9	0.5	-22.8	31.4	2.0	-21.4	0.0	0.0	0.0	0.0
1608083.7	21:40:01:149	Trial001	sid-5-recording.avi	0.0	93896.6	sid (1)	DarkMagenta	99.8	Eye	Blink	1	88.0	76.0	3.6	84.0	64.0	3.6	546.0	277.9	534.4	393.8	505.6	267.3	-	-	-	-	-0.1	-0.2	1.0	-0.1	0.0	1.0	00:00:00:099	-31.9	0.3	-22.8	31.4	1.9	-21.3	0.0	0.0	0.0	0.0
1608100.3	21:40:01:165	Trial001	sid-5-recording.avi	0.0	93896.6	sid (1)	DarkMagenta	99.8	Eye	Blink	1	88.0	76.0	3.6	84.0	66.0	3.4	568.4	402.1	529.6	408.9	505.8	305.9	-	-	-	-	0.0	-0.2	1.0	-0.1	-0.1	1.0	00:00:00:099	-31.9	0.2	-22.7	31.4	1.9	-21.2	0.0	0.0	0.0	0.0
1608116.7	21:40:01:182	Trial001	sid-5-recording.avi	0.0	93896.6	sid (1)	DarkMagenta	99.8	Eye	Blink	1	90.0	74.0	3.5	84.0	66.0	3.4	561.3	396.5	527.8	410.5	503.6	316.5	-	-	-	-	0.0	-0.2	1.0	-0.1	-0.1	1.0	00:00:00:132	-31.9	0.1	-22.7	31.4	1.9	-21.1	0.0	0.0	0.0	0.0
1608133.3	21:40:01:198	Trial001	sid-5-recording.avi	0.0	93896.6	sid (1)	DarkMagenta	99.8	Eye	Visual Intake	1	90.0	74.0	3.5	84.0	66.0	3.4	560.5	398.1	529.2	411.7	502.4	321.5	-	-	-	-	0.0	-0.2	1.0	-0.1	-0.1	1.0	00:00:00:132	-31.9	0.0	-22.6	31.4	1.9	-21.1	0.0	0.0	0.0	0.0
