RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Size Right X [px]	Pupil Size Right Y [px]	Pupil Diameter Right [mm]	Pupil Size Left X [px]	Pupil Size Left Y [px]	Pupil Diameter Left [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	AOI Name Binocular	AOI Group Binocular	AOI Scope Binocular	AOI Order Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Video Time [h:m:s:ms]	Eye Position Right X [mm]	Eye Position Right Y [mm]	Eye Position Right Z [mm]	Eye Position Left X [mm]	Eye Position Left Y [mm]	Eye Position Left Z [mm]	Pupil Position Right X [px]	Pupil Position Right Y [px]	Pupil Position Left X [px]	Pupil Position Left Y [px]
444476.6	20:17:17:089	Trial001	ulises-2-recording.avi	0.0	147516.4	ulises (1)	LightSeaGreen	100.0	Eye	Blink	1	86.0	72.0	4.0	104.0	68.0	4.0	785.6	-55.9	587.4	322.8	856.1	43.9	-	-	-	-	-0.1	-0.1	1.0	-0.4	0.2	0.9	00:00:00:000	-32.1	4.1	-23.2	29.9	4.4	-22.5	0.0	0.0	0.0	0.0
444493.4	20:17:17:106	Trial001	ulises-2-recording.avi	0.0	147516.4	ulises (1)	LightSeaGreen	100.0	Eye	Blink	1	90.0	74.0	4.5	102.0	66.0	4.0	716.5	66.3	557.2	373.3	775.6	143.6	-	-	-	-	-0.1	-0.2	1.0	-0.3	0.1	0.9	00:00:00:000	-32.2	4.6	-22.9	29.1	5.2	-21.8	0.0	0.0	0.0	0.0
444509.6	20:17:17:122	Trial001	ulises-2-recording.avi	0.0	147516.4	ulises (1)	LightSeaGreen	100.0	Eye	Blink	1	92.0	74.0	4.0	104.0	66.0	3.7	672.5	177.4	538.3	461.5	725.8	210.7	-	-	-	-	-0.1	-0.3	1.0	-0.3	0.0	1.0	00:00:00:032	-32.3	4.9	-22.8	28.6	5.8	-21.4	0.0	0.0	0.0	0.0
444526.2	20:17:17:139	Trial001	ulises-2-recording.avi	0.0	147516.4	ulises (1)	LightSeaGreen	100.0	Eye	Blink	1	94.0	74.0	4.0	104.0	66.0	5.7	647.3	221.2	532.1	478.7	689.8	253.9	-	-	-	-	-0.1	-0.3	1.0	-0.3	0.0	1.0	00:00:00:032	-32.4	5.0	-22.7	28.3	6.2	-21.2	0.0	0.0	0.0	0.0
444542.8	20:17:17:155	Trial001	ulises-2-recording.avi	0.0	147516.4	ulises (1)	LightSeaGreen	100.0	Eye	Blink	1	96.0	74.0	3.9	104.0	66.0	4.7	602.3	253.6	528.7	490.5	614.4	287.4	-	-	-	-	0.0	-0.3	1.0	-0.2	-0.1	1.0	00:00:00:066	-32.4	5.1	-22.7	28.1	6.4	-21.0	0.0	0.0	0.0	0.0
444560.6	20:17:17:173	Trial001	ulises-2-recording.avi	0.0	147516.4	ulises (1)	LightSeaGreen	100.0	Eye	Blink	1	94.0	72.0	3.9	106.0	66.0	4.5	583.2	276.9	521.6	494.9	587.8	316.1	-	-	-	-	0.0	-0.3	1.0	-0.2	-0.1	1.0	00:00:00:066	-32.4	5.1	-22.7	28.0	6.6	-20.9	0.0	0.0	0.0	0.0
444576.2	20:17:17:189	Trial001	ulises-2-recording.avi	0.0	147516.4	ulises (1)	LightSeaGreen	100.0	Eye	Blink	1	96.0	74.0	3.9	104.0	66.0	4.2	573.7	303.6	514.6	501.9	578.5	348.1	-	-	-	-	0.0	-0.3	1.0	-0.1	-0.1	1.0	00:00:00:099	-32.4	5.2	-22.6	27.8	6.8	-20.8	0.0	0.0	0.0	0.0
444592.7	20:17:17:205	Trial001	ulises-2-recording.avi	0.0	147516.4	ulises (1)	LightSeaGreen	100.0	Eye	Blink	1	96.0	74.0	3.9	104.0	66.0	4.1	632.3	412.5	506.5	508.0	565.2	369.9	-	-	-	-	0.0	-0.3	1.0	-0.1	-0.2	1.0	00:00:00:099	-32.5	5.2	-22.6	27.7	6.9	-20.8	0.0	0.0	0.0	0.0
444609.3	20:17:17:222	Trial001	ulises-2-recording.avi	0.0	147516.4	ulises (1)	LightSeaGreen	100.0	Eye	Blink	1	96.0	74.0	3.9	104.0	66.0	4.1	600.8	415.3	499.8	508.4	544.9	388.0	-	-	-	-	0.0	-0.3	1.0	-0.1	-0.2	1.0	00:00:00:132	-32.5	5.2	-22.6	27.7	7.0	-20.7	0.0	0.0	0.0	0.0
444625.9	20:17:17:238	Trial001	ulises-2-recording.avi	0.0	147516.4	ulises (1)	LightSeaGreen	100.0	Eye	Blink	1	96.0	74.0	4.0	104.0	66.0	4.0	582.7	416.1	490.0	511.6	539.0	396.3	-	-	-	-	0.0	-0.3	1.0	-0.1	-0.2	1.0	00:00:00:132	-32.5	5.2	-22.6	27.6	7.1	-20.7	0.0	0.0	0.0	0.0
