RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Size Right X [px]	Pupil Size Right Y [px]	Pupil Diameter Right [mm]	Pupil Size Left X [px]	Pupil Size Left Y [px]	Pupil Diameter Left [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Point of Regard Left X [px]	Point of Regard Left Y [px]	AOI Name Binocular	AOI Group Binocular	AOI Scope Binocular	AOI Order Binocular	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Gaze Vector Left X	Gaze Vector Left Y	Gaze Vector Left Z	Video Time [h:m:s:ms]	Eye Position Right X [mm]	Eye Position Right Y [mm]	Eye Position Right Z [mm]	Eye Position Left X [mm]	Eye Position Left Y [mm]	Eye Position Left Z [mm]	Pupil Position Right X [px]	Pupil Position Right Y [px]	Pupil Position Left X [px]	Pupil Position Left Y [px]
2553257.9	03:55:33:301	Trial001	wael-5-recording.avi	0.0	115951.5	wael (1)	DarkOrchid	100.0	Eye	Blink	1	106.0	88.0	4.0	112.0	86.0	4.0	523.5	-268.3	541.0	485.5	730.7	385.0	-	-	-	-	-0.1	-0.3	1.0	-0.3	-0.2	0.9	00:00:00:000	-31.7	1.8	-23.8	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
2553274.2	03:55:33:317	Trial001	wael-5-recording.avi	0.0	115951.5	wael (1)	DarkOrchid	100.0	Eye	Blink	1	106.0	88.0	4.4	112.0	84.0	5.2	527.7	-316.8	546.9	343.1	725.6	396.0	-	-	-	-	-0.1	-0.1	1.0	-0.3	-0.2	0.9	00:00:00:000	-31.8	1.4	-23.6	31.6	2.7	-24.3	0.0	0.0	0.0	0.0
2553290.7	03:55:33:334	Trial001	wael-5-recording.avi	0.0	115951.5	wael (1)	DarkOrchid	100.0	Eye	Blink	1	106.0	88.0	4.4	112.0	84.0	5.6	512.0	-188.4	534.9	379.4	683.3	406.1	-	-	-	-	-0.1	-0.2	1.0	-0.3	-0.2	0.9	00:00:00:032	-31.8	1.3	-23.6	30.8	2.3	-22.6	0.0	0.0	0.0	0.0
2553307.3	03:55:33:350	Trial001	wael-5-recording.avi	0.0	115951.5	wael (1)	DarkOrchid	100.0	Eye	Blink	1	106.0	88.0	4.4	112.0	84.0	5.9	512.3	-189.3	532.7	388.6	686.9	400.7	-	-	-	-	-0.1	-0.2	1.0	-0.3	-0.2	0.9	00:00:00:032	-31.9	1.2	-23.5	30.8	2.3	-22.6	0.0	0.0	0.0	0.0
2553324.0	03:55:33:367	Trial001	wael-5-recording.avi	0.0	115951.5	wael (1)	DarkOrchid	100.0	Eye	Blink	1	104.0	88.0	4.4	112.0	84.0	4.8	534.1	-55.9	530.4	389.9	671.4	251.6	-	-	-	-	0.0	-0.2	1.0	-0.2	0.0	1.0	00:00:00:066	-31.9	1.1	-23.5	30.8	2.3	-22.6	0.0	0.0	0.0	0.0
2553340.6	03:55:33:384	Trial001	wael-5-recording.avi	0.0	115951.5	wael (1)	DarkOrchid	100.0	Eye	Blink	1	104.0	88.0	4.4	112.0	84.0	4.8	532.3	-53.7	529.5	391.7	669.0	257.5	-	-	-	-	0.0	-0.2	1.0	-0.2	0.0	1.0	00:00:00:066	-31.9	1.1	-23.5	30.8	2.3	-22.6	0.0	0.0	0.0	0.0
2553357.3	03:55:33:400	Trial001	wael-5-recording.avi	0.0	115951.5	wael (1)	DarkOrchid	100.0	Eye	Visual Intake	1	104.0	88.0	4.3	112.0	84.0	4.7	535.0	-65.4	530.4	390.9	676.6	251.7	-	-	-	-	0.0	-0.2	1.0	-0.2	0.0	1.0	00:00:00:099	-31.9	1.0	-23.5	30.8	2.3	-22.6	0.0	0.0	0.0	0.0
2553373.7	03:55:33:417	Trial001	wael-5-recording.avi	0.0	115951.5	wael (1)	DarkOrchid	100.0	Eye	Visual Intake	1	104.0	88.0	4.3	112.0	84.0	4.8	531.9	-46.6	530.5	392.0	664.9	257.9	-	-	-	-	0.0	-0.2	1.0	-0.2	0.0	1.0	00:00:00:099	-31.9	1.0	-23.5	30.8	2.3	-22.6	0.0	0.0	0.0	0.0
2553390.4	03:55:33:433	Trial001	wael-5-recording.avi	0.0	115951.5	wael (1)	DarkOrchid	100.0	Eye	Visual Intake	1	104.0	88.0	4.3	114.0	84.0	4.8	531.4	-48.4	529.4	390.1	665.4	258.9	-	-	-	-	0.0	-0.2	1.0	-0.2	0.0	1.0	00:00:00:099	-31.9	1.0	-23.5	30.8	2.3	-22.6	0.0	0.0	0.0	0.0
2553406.9	03:55:33:450	Trial001	wael-5-recording.avi	0.0	115951.5	wael (1)	DarkOrchid	100.0	Eye	Visual Intake	1	106.0	88.0	4.3	114.0	84.0	4.8	531.8	-52.3	530.3	389.8	666.9	260.4	-	-	-	-	0.0	-0.2	1.0	-0.2	0.0	1.0	00:00:00:132	-31.9	1.0	-23.4	30.8	2.3	-22.6	0.0	0.0	0.0	0.0
