StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	TimeSignal	GazeLeftx	GazeLefty	GazeRightx	GazeRighty	PupilLeft	PupilRight	DistanceLeft	DistanceRight	CameraLeftX	CameraLeftY	CameraRightX	CameraRightY	ValidityLeft	ValidityRight	GazeX	GazeY	GazeAOI	InterpolatedGazeX	InterpolatedGazeY	GazeEventType	GazeVelocityAngle	SaccadeSeq	SaccadeStart	SaccadeDuration	FixationSeq	FixationX	FixationY	FixationStart	FixationDuration	FixationAOI	PostMarker	Annotation	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Clipped - Hazard Identification A	20190216	ulises	0	MALE	smiGlasses	TestImage	ET	0	0	0	-1	-1	-1	-1	4	4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	ulises	0	MALE	smiGlasses	TestImage	ET	17	17	17	716	66	716	66	4	4.5	2	2	-1	-1	-1	-1	0	0	716	66		716	66		0																	
Clipped - Hazard Identification A	20190216	ulises	0	MALE	smiGlasses	TestImage	ET	33	33	33	672	177	672	177	3.7	4	2	2	-1	-1	-1	-1	0	0	672	177		672	177		0																	
Clipped - Hazard Identification A	20190216	ulises	0	MALE	smiGlasses	TestImage	ET	50	50	50	647	221	647	221	5.7	4	2	2	-1	-1	-1	-1	0	0	647	221		647	221		0																	
Clipped - Hazard Identification A	20190216	ulises	0	MALE	smiGlasses	TestImage	ET	66	66	66	602	254	602	254	4.7	3.9	2	2	-1	-1	-1	-1	0	0	602	254		602	254		0																	
Clipped - Hazard Identification A	20190216	ulises	0	MALE	smiGlasses	TestImage	ET	84	84	84	583	277	583	277	4.5	3.9	2	2	-1	-1	-1	-1	0	0	583	277		583	277		0																	
Clipped - Hazard Identification A	20190216	ulises	0	MALE	smiGlasses	TestImage	ET	100	100	100	574	304	574	304	4.2	3.9	2	2	-1	-1	-1	-1	0	0	574	304		574	304		0																	
Clipped - Hazard Identification A	20190216	ulises	0	MALE	smiGlasses	TestImage	ET	116	116	116	632	412	632	412	4.1	3.9	2	2	-1	-1	-1	-1	0	0	632	412		632	412		0																	
Clipped - Hazard Identification A	20190216	ulises	0	MALE	smiGlasses	TestImage	ET	133	133	133	601	415	601	415	4.1	3.9	2	2	-1	-1	-1	-1	0	0	601	415		601	415		0																	
Clipped - Hazard Identification A	20190216	ulises	0	MALE	smiGlasses	TestImage	ET	149	149	149	583	416	583	416	4	4	2	2	-1	-1	-1	-1	0	0	583	416		583	416		0																	
Clipped - Hazard Identification A	20190216	ulises	0	MALE	smiGlasses	TestImage	ET	166	166	166	558	416	558	416	4	4.1	2	2	-1	-1	-1	-1	0	0	558	416		558	416		0																	
Clipped - Hazard Identification A	20190216	ulises	0	MALE	smiGlasses	TestImage	ET	183	183	183	536	418	536	418	4	4.2	2	2	-1	-1	-1	-1	0	0	536	418		536	418		0																	
Clipped - Hazard Identification A	20190216	ulises	0	MALE	smiGlasses	TestImage	ET	199	199	199	524	420	524	420	4	4.1	2	2	-1	-1	-1	-1	0	0	524	420		524	420		0																	
