StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	TimeSignal	GazeLeftx	GazeLefty	GazeRightx	GazeRighty	PupilLeft	PupilRight	DistanceLeft	DistanceRight	CameraLeftX	CameraLeftY	CameraRightX	CameraRightY	ValidityLeft	ValidityRight	GazeX	GazeY	GazeAOI	InterpolatedGazeX	InterpolatedGazeY	GazeEventType	GazeVelocityAngle	SaccadeSeq	SaccadeStart	SaccadeDuration	FixationSeq	FixationX	FixationY	FixationStart	FixationDuration	FixationAOI	PostMarker	Annotation	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	0	0	0	547	519	547	519	4	4	2	2	-1	-1	-1	-1	0	0	547	519		547	519		0																	
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	17	17	17	544	379	544	379	4.8	3.8	2	2	-1	-1	-1	-1	0	0	544	379		544	379		0																	
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	33	33	33	553	171	553	171	5.1	3.7	2	2	-1	-1	-1	-1	0	0	553	171		553	171		0																	
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	50	50	50	526	68	526	68	5.4	3.7	2	2	-1	-1	-1	-1	0	0	526	68		526	68		0																	
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	66	66	66	-1	-1	-1	-1	5.4	3.8	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	83	83	83	553	220	553	220	3.8	3.6	2	2	-1	-1	-1	-1	0	0	553	220		553	220		0																	
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	100	100	100	546	278	546	278	3.6	3.6	2	2	-1	-1	-1	-1	0	0	546	278		546	278		0																	
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	116	116	116	568	402	568	402	3.4	3.6	2	2	-1	-1	-1	-1	0	0	568	402		568	402		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	133	133	133	561	396	561	396	3.4	3.5	2	2	-1	-1	-1	-1	0	0	561	396		561	396		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	149	149	149	560	398	560	398	3.4	3.5	2	2	-1	-1	-1	-1	0	0	560	398		560	398		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	166	166	166	559	396	559	396	3.4	3.5	2	2	-1	-1	-1	-1	0	0	559	396		559	396		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	182	182	182	556	395	556	395	3.4	3.5	2	2	-1	-1	-1	-1	0	0	556	395		556	395		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	199	199	199	554	390	554	390	3.4	3.5	2	2	-1	-1	-1	-1	0	0	554	390		554	390		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	216	216	216	553	389	553	389	3.4	3.5	2	2	-1	-1	-1	-1	0	0	553	389		553	389		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	232	232	232	552	387	552	387	3.4	3.5	2	2	-1	-1	-1	-1	0	0	552	387		552	387		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	249	249	249	554	391	554	391	3.4	3.5	2	2	-1	-1	-1	-1	0	0	554	391		554	391		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	265	265	265	554	388	554	388	3.4	3.5	2	2	-1	-1	-1	-1	0	0	554	388		554	388		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	282	282	282	553	387	553	387	3.4	3.5	2	2	-1	-1	-1	-1	0	0	553	387		553	387		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	299	299	299	554	386	554	386	3.4	3.6	2	2	-1	-1	-1	-1	0	0	554	386		554	386		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	315	315	315	551	384	551	384	3.4	3.5	2	2	-1	-1	-1	-1	0	0	551	384		551	384		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	332	332	332	551	382	551	382	3.4	3.6	2	2	-1	-1	-1	-1	0	0	551	382		551	382		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	348	348	348	550	381	550	381	3.4	3.6	2	2	-1	-1	-1	-1	0	0	550	381		550	381		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	365	365	365	548	381	548	381	3.4	3.6	2	2	-1	-1	-1	-1	0	0	548	381		548	381		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	382	382	382	547	378	547	378	3.4	3.6	2	2	-1	-1	-1	-1	0	0	547	378		547	378		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	398	398	398	546	378	546	378	3.4	3.6	2	2	-1	-1	-1	-1	0	0	546	378		546	378		0				1	554	388	116	282									
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	415	415	415	545	376	545	376	3.4	3.6	2	2	-1	-1	-1	-1	0	0	545	376		545	376		0																	
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	431	431	431	544	378	544	378	3.4	3.6	2	2	-1	-1	-1	-1	0	0	544	378		544	378		0																	
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	448	448	448	542	377	542	377	3.4	3.6	2	2	-1	-1	-1	-1	0	0	542	377		542	377		0																	
Clipped - Hazard Identification A	20190216	sid	0	MALE	smiGlasses	TestImage	ET	465	465	465	541	375	541	375	3.4	3.6	2	2	-1	-1	-1	-1	0	0	541	375		541	375		0																	
