StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	TimeSignal	GazeLeftx	GazeLefty	GazeRightx	GazeRighty	PupilLeft	PupilRight	DistanceLeft	DistanceRight	CameraLeftX	CameraLeftY	CameraRightX	CameraRightY	ValidityLeft	ValidityRight	GazeX	GazeY	GazeAOI	InterpolatedGazeX	InterpolatedGazeY	GazeEventType	GazeVelocityAngle	SaccadeSeq	SaccadeStart	SaccadeDuration	FixationSeq	FixationX	FixationY	FixationStart	FixationDuration	FixationAOI	PostMarker	Annotation	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Clipped - Hazard Identification A	20190216	gabe	0	MALE	smiGlasses	TestImage	ET	0	0	0	-1	-1	-1	-1	0	0	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	gabe	0	MALE	smiGlasses	TestImage	ET	17	17	17	-1	-1	-1	-1	0	0	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	gabe	0	MALE	smiGlasses	TestImage	ET	33	33	33	-1	-1	-1	-1	0	0	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	gabe	0	MALE	smiGlasses	TestImage	ET	50	50	50	-1	-1	-1	-1	0	0	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	gabe	0	MALE	smiGlasses	TestImage	ET	66	66	66	307	368	307	368	0	0	2	2	-1	-1	-1	-1	0	0	307	368		307	368		0																	
Clipped - Hazard Identification A	20190216	gabe	0	MALE	smiGlasses	TestImage	ET	83	83	83	307	368	307	368	0	4.1	2	2	-1	-1	-1	-1	0	0	307	368		307	368		0																	
Clipped - Hazard Identification A	20190216	gabe	0	MALE	smiGlasses	TestImage	ET	100	100	100	-1	-1	-1	-1	0	0	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	gabe	0	MALE	smiGlasses	TestImage	ET	116	116	116	-1	-1	-1	-1	0	0	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	gabe	0	MALE	smiGlasses	TestImage	ET	133	133	133	-1	-1	-1	-1	0	0	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	gabe	0	MALE	smiGlasses	TestImage	ET	149	149	149	-1	-1	-1	-1	0	0	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
