StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	TimeSignal	GazeLeftx	GazeLefty	GazeRightx	GazeRighty	PupilLeft	PupilRight	DistanceLeft	DistanceRight	CameraLeftX	CameraLeftY	CameraRightX	CameraRightY	ValidityLeft	ValidityRight	GazeX	GazeY	GazeAOI	InterpolatedGazeX	InterpolatedGazeY	GazeEventType	GazeVelocityAngle	SaccadeSeq	SaccadeStart	SaccadeDuration	FixationSeq	FixationX	FixationY	FixationStart	FixationDuration	FixationAOI	PostMarker	Annotation	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	0	0	0	440	692	440	692	4	4	2	2	-1	-1	-1	-1	0	0	440	692		440	692		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	16	16	16	513	324	513	324	4.8	4.6	2	2	-1	-1	-1	-1	0	0	513	324		513	324		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	33	33	33	505	455	505	455	4.4	4.3	2	2	-1	-1	-1	-1	0	0	505	455		505	455		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	49	49	49	554	554	554	554	4.4	4.3	2	2	-1	-1	-1	-1	0	0	554	554		554	554		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	66	66	66	551	519	551	519	4.5	4.3	2	2	-1	-1	-1	-1	0	0	551	519		551	519		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	83	83	83	551	508	551	508	4.5	4.2	2	2	-1	-1	-1	-1	0	0	551	508		551	508		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	99	99	99	547	496	547	496	4.4	4.2	2	2	-1	-1	-1	-1	0	0	547	496		547	496		0				1	532	488	99	200									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	116	116	116	544	495	544	495	4.4	4.2	2	2	-1	-1	-1	-1	0	0	544	495		544	495		0				1	532	488	99	200									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	132	132	132	541	491	541	491	4.4	4.2	2	2	-1	-1	-1	-1	0	0	541	491		541	491		0				1	532	488	99	200									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	149	149	149	537	486	537	486	4.4	4.3	2	2	-1	-1	-1	-1	0	0	537	486		537	486		0				1	532	488	99	200									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	165	165	165	536	488	536	488	4.4	4.2	2	2	-1	-1	-1	-1	0	0	536	488		536	488		0				1	532	488	99	200									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	182	182	182	533	483	533	483	4.4	4.2	2	2	-1	-1	-1	-1	0	0	533	483		533	483		0				1	532	488	99	200									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	199	199	199	531	483	531	483	4.4	4.2	2	2	-1	-1	-1	-1	0	0	531	483		531	483		0				1	532	488	99	200									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	215	215	215	529	486	529	486	4.4	4.1	2	2	-1	-1	-1	-1	0	0	529	486		529	486		0				1	532	488	99	200									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	232	232	232	527	481	527	481	4.4	4.2	2	2	-1	-1	-1	-1	0	0	527	481		527	481		0				1	532	488	99	200									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	249	249	249	525	485	525	485	4.4	4.2	2	2	-1	-1	-1	-1	0	0	525	485		525	485		0				1	532	488	99	200									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	265	265	265	524	484	524	484	4.3	4.2	2	2	-1	-1	-1	-1	0	0	524	484		524	484		0				1	532	488	99	200									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	282	282	282	523	490	523	490	4.3	4.2	2	2	-1	-1	-1	-1	0	0	523	490		523	490		0				1	532	488	99	200									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	299	299	299	522	493	522	493	4.4	4.2	2	2	-1	-1	-1	-1	0	0	522	493		522	493		0				1	532	488	99	200									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	315	315	315	518	499	518	499	4.3	4.2	2	2	-1	-1	-1	-1	0	0	518	499		518	499		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	332	332	332	516	507	516	507	4.4	4.2	2	2	-1	-1	-1	-1	0	0	516	507		516	507		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	348	348	348	518	509	518	509	4.4	4.1	2	2	-1	-1	-1	-1	0	0	518	509		518	509		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	365	365	365	516	512	516	512	4.4	4.1	2	2	-1	-1	-1	-1	0	0	516	512		516	512		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	382	382	382	518	513	518	513	4.4	4.1	2	2	-1	-1	-1	-1	0	0	518	513		518	513		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	398	398	398	518	501	518	501	4.3	4.1	2	2	-1	-1	-1	-1	0	0	518	501		518	501		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	415	415	415	509	403	509	403	4.2	4.2	2	2	-1	-1	-1	-1	0	0	509	403		509	403		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	432	432	432	496	295	496	295	4	3.9	2	2	-1	-1	-1	-1	0	0	496	295		496	295		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	448	448	448	502	201	502	201	3.8	3.8	2	2	-1	-1	-1	-1	0	0	502	201		502	201		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	465	465	465	518	132	518	132	3.4	3.7	2	2	-1	-1	-1	-1	0	0	518	132		518	132		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	481	481	481	529	77	529	77	3.2	3.6	2	2	-1	-1	-1	-1	0	0	529	77		529	77		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	498	498	498	532	65	532	65	0	3.5	2	2	-1	-1	-1	-1	0	0	532	65		532	65		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	514	514	514	538	57	538	57	2.9	3.5	2	2	-1	-1	-1	-1	0	0	538	57		538	57		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	531	531	531	528	82	528	82	2.9	3.5	2	2	-1	-1	-1	-1	0	0	528	82		528	82		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	547	547	547	510	107	510	107	2.8	3.6	2	2	-1	-1	-1	-1	0	0	510	107		510	107		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	564	564	564	500	134	500	134	2.8	3.5	2	2	-1	-1	-1	-1	0	0	500	134		500	134		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	581	581	581	491	153	491	153	2.8	3.4	2	2	-1	-1	-1	-1	0	0	491	153		491	153		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	598	598	598	486	169	486	169	2.9	3.5	2	2	-1	-1	-1	-1	0	0	486	169		486	169		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	614	614	614	486	181	486	181	3	3.5	2	2	-1	-1	-1	-1	0	0	486	181		486	181		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	631	631	631	475	186	475	186	2.9	3.5	2	2	-1	-1	-1	-1	0	0	475	186		475	186		0				2	475	192	631	116									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	647	647	647	473	192	473	192	2.9	3.5	2	2	-1	-1	-1	-1	0	0	473	192		473	192		0				2	475	192	631	116									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	663	663	663	475	196	475	196	2.9	3.4	2	2	-1	-1	-1	-1	0	0	475	196		475	196		0				2	475	192	631	116									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	680	680	680	476	196	476	196	2.9	3.5	2	2	-1	-1	-1	-1	0	0	476	196		476	196		0				2	475	192	631	116									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	697	697	697	471	194	471	194	2.8	3.5	2	2	-1	-1	-1	-1	0	0	471	194		471	194		0				2	475	192	631	116									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	714	714	714	476	196	476	196	2.9	3.5	2	2	-1	-1	-1	-1	0	0	476	196		476	196		0				2	475	192	631	116									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	730	730	730	477	187	477	187	3	3.5	2	2	-1	-1	-1	-1	0	0	477	187		477	187		0				2	475	192	631	116									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	747	747	747	480	187	480	187	2.9	3.5	2	2	-1	-1	-1	-1	0	0	480	187		480	187		0				2	475	192	631	116									
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	763	763	763	523	218	523	218	2.9	3.3	2	2	-1	-1	-1	-1	0	0	523	218		523	218		0																	
Clipped - Hazard Identification A	20190216	doug	0	MALE	smiGlasses	TestImage	ET	779	779	779	591	274	591	274	0	3.4	2	2	-1	-1	-1	-1	0	0	591	274		591	274		0																	
