StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	TimeSignal	GazeLeftx	GazeLefty	GazeRightx	GazeRighty	PupilLeft	PupilRight	DistanceLeft	DistanceRight	CameraLeftX	CameraLeftY	CameraRightX	CameraRightY	ValidityLeft	ValidityRight	GazeX	GazeY	GazeAOI	InterpolatedGazeX	InterpolatedGazeY	GazeEventType	GazeVelocityAngle	SaccadeSeq	SaccadeStart	SaccadeDuration	FixationSeq	FixationX	FixationY	FixationStart	FixationDuration	FixationAOI	PostMarker	Annotation	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	0	0	0	-1	-1	-1	-1	4	4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	16	16	16	-1	-1	-1	-1	4	3.3	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	33	33	33	-1	-1	-1	-1	4	4.6	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	49	49	49	-1	-1	-1	-1	4	4.3	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	66	66	66	543	404	543	404	0	4.3	2	2	-1	-1	-1	-1	0	0	543	404		543	404		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	83	83	83	546	401	546	401	0	4.3	2	2	-1	-1	-1	-1	0	0	546	401		546	401		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	99	99	99	551	403	551	403	0	3.9	2	2	-1	-1	-1	-1	0	0	551	403		551	403		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	116	116	116	552	392	552	392	0	3.8	2	2	-1	-1	-1	-1	0	0	552	392		552	392		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	132	132	132	548	371	548	371	0	4.1	2	2	-1	-1	-1	-1	0	0	548	371		548	371		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	149	149	149	546	361	546	361	0	4.2	2	2	-1	-1	-1	-1	0	0	546	361		546	361		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	166	166	166	546	363	546	363	0	4.2	2	2	-1	-1	-1	-1	0	0	546	363		546	363		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	182	182	182	548	364	548	364	0	4.2	2	2	-1	-1	-1	-1	0	0	548	364		548	364		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	199	199	199	548	384	548	384	0	4	2	2	-1	-1	-1	-1	0	0	548	384		548	384		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	216	216	216	552	394	552	394	0	3.9	2	2	-1	-1	-1	-1	0	0	552	394		552	394		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	232	232	232	-1	-1	-1	-1	0	0	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	248	248	248	549	385	549	385	0	3.3	2	2	-1	-1	-1	-1	0	0	549	385		549	385		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	265	265	265	552	371	552	371	0	3.6	2	2	-1	-1	-1	-1	0	0	552	371		552	371		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	282	282	282	547	344	547	344	0	4.1	2	2	-1	-1	-1	-1	0	0	547	344		547	344		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	299	299	299	547	337	547	337	0	4.3	2	2	-1	-1	-1	-1	0	0	547	337		547	337		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	316	316	316	546	336	546	336	0	4.2	2	2	-1	-1	-1	-1	0	0	546	336		546	336		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	332	332	332	544	341	544	341	0	4.3	2	2	-1	-1	-1	-1	0	0	544	341		544	341		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	349	349	349	544	342	544	342	0	4.2	2	2	-1	-1	-1	-1	0	0	544	342		544	342		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	365	365	365	-1	-1	-1	-1	4	4.2	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	382	382	382	543	343	543	343	0	4.2	2	2	-1	-1	-1	-1	0	0	543	343		543	343		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	398	398	398	543	342	543	342	0	4.2	2	2	-1	-1	-1	-1	0	0	543	342		543	342		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	415	415	415	-1	-1	-1	-1	4	4.1	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	431	431	431	-1	-1	-1	-1	4	4.2	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	448	448	448	-1	-1	-1	-1	4	4.2	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	464	464	464	-1	-1	-1	-1	4	4.2	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	481	481	481	541	347	541	347	0	4.2	2	2	-1	-1	-1	-1	0	0	541	347		541	347		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	498	498	498	-1	-1	-1	-1	4	4.2	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	514	514	514	-1	-1	-1	-1	4	4.2	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	531	531	531	-1	-1	-1	-1	4	4.2	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	547	547	547	-1	-1	-1	-1	4	4.2	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	564	564	564	-1	-1	-1	-1	4	4.2	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	581	581	581	-1	-1	-1	-1	4	4.1	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	597	597	597	-1	-1	-1	-1	4	4.2	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	614	614	614	-1	-1	-1	-1	4	4.1	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	630	630	630	-1	-1	-1	-1	4	4.2	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aby	0	MALE	smiGlasses	TestImage	ET	647	647	647	-1	-1	-1	-1	4	4.2	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
