StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	TimeSignal	GazeLeftx	GazeLefty	GazeRightx	GazeRighty	PupilLeft	PupilRight	DistanceLeft	DistanceRight	CameraLeftX	CameraLeftY	CameraRightX	CameraRightY	ValidityLeft	ValidityRight	GazeX	GazeY	GazeAOI	InterpolatedGazeX	InterpolatedGazeY	GazeEventType	GazeVelocityAngle	SaccadeSeq	SaccadeStart	SaccadeDuration	FixationSeq	FixationX	FixationY	FixationStart	FixationDuration	FixationAOI	PostMarker	Annotation	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	0	0	0	423	117	423	117	4	4	2	2	-1	-1	-1	-1	0	0	423	117		423	117		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	16	16	16	448	238	448	238	4	4.7	2	2	-1	-1	-1	-1	0	0	448	238		448	238		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	33	33	33	509	248	509	248	7	4.7	2	2	-1	-1	-1	-1	0	0	509	248		509	248		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	49	49	49	447	108	447	108	5.9	4.7	2	2	-1	-1	-1	-1	0	0	447	108		447	108		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	66	66	66	435	26	435	26	5.6	4.6	2	2	-1	-1	-1	-1	0	0	435	26		435	26		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	82	82	82	458	10	458	10	5.7	4.5	2	2	-1	-1	-1	-1	0	0	458	10		458	10		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	99	99	99	480	4	480	4	5.6	4.6	2	2	-1	-1	-1	-1	0	0	480	4		480	4		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	116	116	116	494	6	494	6	5.8	4.5	2	2	-1	-1	-1	-1	0	0	494	6		494	6		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	132	132	132	508	15	508	15	5.7	4.5	2	2	-1	-1	-1	-1	0	0	508	15		508	15		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	149	149	149	524	1	524	1	5.8	4.6	2	2	-1	-1	-1	-1	0	0	524	1		524	1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	166	166	166	-1	-1	-1	-1	5.7	4.6	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	182	182	182	552	26	552	26	5.8	4.6	2	2	-1	-1	-1	-1	0	0	552	26		552	26		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	199	199	199	-1	-1	-1	-1	5.1	4.6	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	215	215	215	-1	-1	-1	-1	5.6	4.5	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	232	232	232	-1	-1	-1	-1	6	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	249	249	249	539	16	539	16	6.2	4.4	2	2	-1	-1	-1	-1	0	0	539	16		539	16		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	265	265	265	543	52	543	52	6	4.4	2	2	-1	-1	-1	-1	0	0	543	52		543	52		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	282	282	282	-1	-1	-1	-1	6.3	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	298	298	298	-1	-1	-1	-1	6.2	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	315	315	315	-1	-1	-1	-1	6.5	4.5	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	332	332	332	556	204	556	204	6.6	4.4	2	2	-1	-1	-1	-1	0	0	556	204		556	204		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	348	348	348	560	205	560	205	6.5	4.4	2	2	-1	-1	-1	-1	0	0	560	205		560	205		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	365	365	365	-1	-1	-1	-1	6.6	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	381	381	381	-1	-1	-1	-1	6.5	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	398	398	398	-1	-1	-1	-1	6.5	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	415	415	415	-1	-1	-1	-1	6.5	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	431	431	431	-1	-1	-1	-1	6.7	4.3	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	448	448	448	-1	-1	-1	-1	6.5	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	464	464	464	-1	-1	-1	-1	6.5	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	481	481	481	-1	-1	-1	-1	6.5	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	498	498	498	-1	-1	-1	-1	6.5	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	514	514	514	-1	-1	-1	-1	6.6	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	531	531	531	-1	-1	-1	-1	6.5	4.3	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	547	547	547	-1	-1	-1	-1	6.5	4.3	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	564	564	564	-1	-1	-1	-1	6.5	4.3	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	581	581	581	-1	-1	-1	-1	6.4	4.3	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	597	597	597	-1	-1	-1	-1	6.5	4.3	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	614	614	614	-1	-1	-1	-1	6.4	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	630	630	630	-1	-1	-1	-1	6.4	4.3	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	647	647	647	-1	-1	-1	-1	6.5	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	664	664	664	-1	-1	-1	-1	6.5	4.3	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	680	680	680	-1	-1	-1	-1	6.4	4.3	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	697	697	697	552	197	552	197	6.7	4.3	2	2	-1	-1	-1	-1	0	0	552	197		552	197		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	713	713	713	-1	-1	-1	-1	6.5	4.3	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	730	730	730	-1	-1	-1	-1	6.4	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
Clipped - Hazard Identification A	20190216	aaron	0	MALE	smiGlasses	TestImage	ET	747	747	747	-1	-1	-1	-1	6.4	4.4	2	2	-1	-1	-1	-1	2	2	-1	-1		-1	-1		0																	
